Ptolemy,By place,Asia Minor,3
Ptolemy,By place,Anatolia,1
Ptolemy,By topic,Science,1
Ptolemy,By place,Seleucid Empire,17
Ptolemy,By place,Libya,1
Ptolemy,By place,Syria,1
Ptolemy,By place,Greece,18
Ptolemy,By place,Judea,1
Ptolemy,By topic,Arts and sciences,4
Ptolemy,By place,Egypt,70
Ptolemy,By place,Roman Republic,9
Seleucus,By place,Roman Empire,2
Seleucus,By place,Persia,1
Seleucus,By place,Greece,9
Seleucus,By place,Asia Minor,6
Seleucus,By place,Egypt,4
Seleucus,By place,Syria,2
Seleucus,By place,Seleucid Empire,25
Cornelius,By place,Roman Republic,33
Cornelius,By place,Seleucid Empire,1
Cornelius,By place,Dacia,1
Cornelius,By place,Roman Empire,8
Cornelius,By topic,Arts and sciences,1
Cornelius,By place,Spain,4
Cornelius,By place,Roman republic,1
Cornelius,By place,Carthage,4
Cornelius,By topic,Religion,4
Cornelius,By place,Sicily,1
Syracuse,By place,Sicily,5
Syracuse,By place,Egypt,1
Syracuse,By place,Europe,1
Syracuse,By place,Carthage,2
Syracuse,By area,Europe,1
Syracuse,By place,Byzantine Empire,2
Syracuse,By place,Syracuse,1
Syracuse,By place,Roman Republic,10
Roman,By place,Palestine,1
Roman,By place,Egypt,5
Roman,By place,Syria,2
Roman,By Place,Roman Empire,1
Roman,By place,Bithynia,1
Roman,By topic,Commerce,12
Roman,By place,= Britain,1
Roman,By place,Germania,2
Roman,By place,Parthia,1
Roman,By place,Sicily,8
Roman,By place,Europa,1
Roman,By topic,Arts and sciences,14
Roman,By place,Balkans,5
Roman,By topic,Poetry,1
Roman,By place,Judea,1
Roman,By place,Roman Republic/Empire,1
Roman,By places,Roman Empire,2
Roman,By place,Carthage,21
Roman,By topic,Economics,1
Roman,By topic,Agriculture,1
Roman,By place,Seleucid Empire,13
Roman,By place,Pontus,1
Roman,By place,=Mediterranean,1
Roman,By place,Anatolia,1
Roman,By topic,Religion,44
Roman,By place,Asia,8
Roman,By place,The Balkans,1
Roman,By topic,War and politics,1
Roman,By place,Spain,4
Roman,By topic,Markets,1
Roman,By place,Asia Minor,9
Roman,By place,Africa,7
Roman,By place,Hispania,3
Roman,By place,Europe,99
Roman,By place,Britannia,7
Roman,By place,Roman empire,5
Roman,By topic,Roman Empire,10
Roman,By area,Europe,25
Roman,By place,Roman Empire,684
Roman,By place,Britain,3
Roman,By place,Roman Republic,269
Roman,By topic,Medicine,4
Roman,By topic,Art,5
Roman,By place,Illyria,1
Roman,By place,= Roman Empire,2
Roman,By place,=Western Asia,1
Roman,By topic,Arts,2
Roman,By place,=Northern Europe,1
Roman,By place,Byzantine Empire,24
Roman,By place,Greece,45
Roman,By place,Persia,18
Roman,By topic,Literature,1
Roman,By Place,Europe,2
Roman,By place,Dacia,3
Roman,By place,Roman republic,2
Roman,By topic,Architecture,1
Greece,By place,Roman Republic,12
Greece,By place,Asia Minor,1
Greece,By place,Greece,24
Greece,By place,Seleucid Empire,4
Greece,By place,Byzantine Empire,4
Greece,By place,Eastern Roman Empire,1
Greece,By place,Roman Empire,14
Greece,By place,Europe,5
Greece,By topic,Religion,2
Greece,By place,=Mediterranean,1
Chandragupta,By place,Asia,3
Chandragupta,By place,India,7
Alexander,By place,Seleucid Empire,11
Alexander,By place,Roman Republic,4
Alexander,By topic,Commerce,2
Alexander,By place,Syria,1
Alexander,By area,=Northern and eastern Europe,1
Alexander,By place,Greece,9
Alexander,By place,Judea,4
Alexander,By place,Persia,1
Alexander,By topic,Culture,1
Alexander,By place,Europe,9
Alexander,By topic,Religion,9
Alexander,By topic,Arts and sciences,1
Alexander,By area,Europe,4
Alexander,By place,Roman Empire,15
Alexander,By place,Egypt,2
Alexander,By place,Sicily,1
Alexander,By topic,Art,1
Alexander,By place,Asia Minor,3
Basilica,By topic,Religion,7
Basilica,By place,Roman Empire,6
Basilica,By place,Byzantine Empire,1
Basilica,By topic,Art,9
Basilica,By topic,Arts and culture,3
Basilica,By place,Roman Republic,1
Basilica,By topic,Architecture,1
Basilica,By topic,Arts and sciences,1
Basilica,By place,=Southern Europe,1
Basilica,By place,Europe,7
Constantine,By topic,Commerce,1
Constantine,By topic,Food and drink,1
Constantine,By place,Asia,3
Constantine,By place,Europe,8
Constantine,By topic,Roman Empire,2
Constantine,By topic,Arts and sciences,2
Constantine,By topic,Architecture,1
Constantine,By Place,Europe,1
Constantine,By area,Europe,3
Constantine,By topic,Religion,15
Constantine,By place,Roman Empire,76
Constantine,By place,Byzantine Empire,14
Constantine,By area,Africa,1
Constantine,By topic,Art,4
Christians,By place,Persia,1
Christians,By place,Africa,1
Christians,By area,Africa,1
Christians,By topic,Religion,20
Christians,By place,Europe,6
Christians,By area,Europe,5
Christians,By place,Asia,2
Christians,By place,Roman Empire,24
Sicily,By place,Egypt,1
Sicily,By place,Sicily,11
Sicily,Africa,The Eighth Crusade,1
Sicily,By place,Roman Republic,41
Sicily,By location,Europe,1
Sicily,By place,=Southern Europe,2
Sicily,By topic,War and politics,2
Sicily,By area,=Mediterranean,1
