,date,counts,Ranks
386,1118,52,1477.0
399,1134,40,1476.0
299,1001,32,1475.0
374,1100,31,1474.0
298,1000,28,1473.0
480,1250,25,1472.0
490,1260,24,1470.5
1150,70,24,1470.5
504,1275,22,1469.0
297,100,21,1465.0
1370,900,21,1465.0
301,1003,21,1465.0
798,378,21,1465.0
1139,69,21,1465.0
484,1254,21,1465.0
1043,600,21,1465.0
414,1150,20,1459.5
357,1077,20,1459.5
110,-200,20,1459.5
714,300,20,1459.5
493,1264,19,1456.0
295,1,19,1456.0
439,1187,19,1456.0
515,1287,18,1451.5
1041,6,18,1451.5
934,50,18,1451.5
669,260,18,1451.5
483,1253,18,1451.5
478,1249,18,1451.5
510,1282,17,1446.0
234,-43,17,1446.0
353,1066,17,1446.0
511,1283,17,1446.0
476,1242,17,1446.0
972,535,16,1438.5
512,1284,16,1438.5
442,1190,16,1438.5
1338,871,16,1438.5
1385,914,16,1438.5
239,-48,16,1438.5
824,400,16,1438.5
1042,60,16,1438.5
497,1268,16,1438.5
801,380,16,1438.5
240,-49,15,1428.5
123,-212,15,1428.5
492,1263,15,1428.5
705,293,15,1428.5
1128,68,15,1428.5
494,1265,15,1428.5
300,1002,15,1428.5
579,180,15,1428.5
434,1180,15,1428.5
658,250,15,1428.5
132,-220,14,1414.5
664,256,14,1414.5
604,200,14,1414.5
822,4,14,1414.5
977,54,14,1414.5
973,536,14,1414.5
720,306,14,1414.5
459,1217,14,1414.5
1442,967,14,1414.5
935,500,14,1414.5
393,1125,14,1414.5
429,1174,14,1414.5
443,1191,14,1414.5
400,1135,14,1414.5
505,1276,14,1414.5
507,1279,14,1414.5
438,1185,14,1414.5
448,1202,14,1414.5
519,1290,13,1389.5
303,1005,13,1389.5
309,1010,13,1389.5
525,130,13,1389.5
235,-44,13,1389.5
1371,901,13,1389.5
237,-46,13,1389.5
1368,9,13,1389.5
460,1218,13,1389.5
1107,66,13,1389.5
2,-100,13,1389.5
259,-67,13,1389.5
408,1144,13,1389.5
520,1291,13,1389.5
884,455,13,1389.5
302,1004,13,1389.5
436,1182,13,1389.5
115,-205,13,1389.5
482,1252,13,1389.5
1134,685,13,1389.5
1199,744,13,1389.5
595,193,13,1389.5
416,1153,13,1389.5
1123,675,13,1389.5
485,1255,13,1389.5
411,1147,13,1389.5
890,460,13,1389.5
503,1274,13,1389.5
805,384,13,1389.5
128,-217,13,1389.5
127,-216,13,1389.5
516,1288,13,1389.5
1117,67,12,1358.5
409,1145,12,1358.5
535,14,12,1358.5
417,1154,12,1358.5
1197,742,12,1358.5
249,-58,12,1358.5
989,550,12,1358.5
387,1119,12,1358.5
375,1101,12,1358.5
967,530,12,1358.5
376,1102,12,1358.5
968,531,12,1358.5
226,-36,12,1358.5
422,1160,12,1358.5
835,410,12,1358.5
501,1271,12,1358.5
451,1206,12,1358.5
1450,974,12,1358.5
